Category: All categories,
,
Week,pton: (United States)
1/7/2018,2
1/14/2018,0
1/21/2018,1
1/28/2018,1
2/4/2018,<1
2/11/2018,1
2/18/2018,0
2/25/2018,1
3/4/2018,<1
3/11/2018,0
3/18/2018,1
3/25/2018,1
4/1/2018,0
4/8/2018,1
4/15/2018,1
4/22/2018,<1
4/29/2018,<1
5/6/2018,1
5/13/2018,1
5/20/2018,1
5/27/2018,0
6/3/2018,1
6/10/2018,1
6/17/2018,0
6/24/2018,1
7/1/2018,<1
7/8/2018,<1
7/15/2018,0
7/22/2018,<1
7/29/2018,1
8/5/2018,1
8/12/2018,1
8/19/2018,1
8/26/2018,1
9/2/2018,1
9/9/2018,<1
9/16/2018,0
9/23/2018,<1
9/30/2018,0
10/7/2018,<1
10/14/2018,<1
10/21/2018,<1
10/28/2018,1
11/4/2018,0
11/11/2018,1
11/18/2018,0
11/25/2018,<1
12/2/2018,1
12/9/2018,<1
12/16/2018,1
12/23/2018,<1
12/30/2018,1
1/6/2019,1
1/13/2019,0
1/20/2019,0
1/27/2019,1
2/3/2019,1
2/10/2019,<1
2/17/2019,1
2/24/2019,1
3/3/2019,<1
3/10/2019,1
3/17/2019,<1
3/24/2019,<1
3/31/2019,<1
4/7/2019,0
4/14/2019,1
4/21/2019,1
4/28/2019,<1
5/5/2019,0
5/12/2019,1
5/19/2019,1
5/26/2019,1
6/2/2019,<1
6/9/2019,<1
6/16/2019,<1
6/23/2019,<1
6/30/2019,1
7/7/2019,1
7/14/2019,1
7/21/2019,1
7/28/2019,0
8/4/2019,<1
8/11/2019,0
8/18/2019,0
8/25/2019,2
9/1/2019,1
9/8/2019,1
9/15/2019,1
9/22/2019,35
9/29/2019,21
10/6/2019,8
10/13/2019,7
10/20/2019,7
10/27/2019,7
11/3/2019,11
11/10/2019,6
11/17/2019,12
11/24/2019,7
12/1/2019,16
12/8/2019,21
12/15/2019,13
12/22/2019,9
12/29/2019,11
1/5/2020,12
1/12/2020,8
1/19/2020,10
1/26/2020,7
2/2/2020,20
2/9/2020,9
2/16/2020,6
2/23/2020,10
3/1/2020,9
3/8/2020,10
3/15/2020,20
3/22/2020,11
3/29/2020,10
4/5/2020,7
4/12/2020,16
4/19/2020,11
4/26/2020,12
5/3/2020,51
5/10/2020,22
5/17/2020,17
5/24/2020,13
5/31/2020,15
6/7/2020,16
6/14/2020,9
6/21/2020,20
6/28/2020,11
7/5/2020,16
7/12/2020,20
7/19/2020,20
7/26/2020,16
8/2/2020,29
8/9/2020,11
8/16/2020,17
8/23/2020,16
8/30/2020,44
9/6/2020,100
9/13/2020,46
9/20/2020,35
9/27/2020,28
10/4/2020,34
10/11/2020,45
10/18/2020,39
10/25/2020,21
11/1/2020,31
11/8/2020,49
11/15/2020,30
11/22/2020,18
11/29/2020,24
12/6/2020,20
12/13/2020,25
12/20/2020,44
12/27/2020,20
1/3/2021,17
1/10/2021,20
1/17/2021,19
1/24/2021,16
1/31/2021,32
2/7/2021,18
2/14/2021,14
2/21/2021,29
2/28/2021,25
3/7/2021,23
3/14/2021,18
3/21/2021,15
3/28/2021,12
4/4/2021,17
4/11/2021,12
4/18/2021,27
4/25/2021,19
5/2/2021,71
5/9/2021,29
5/16/2021,23
5/23/2021,25
5/30/2021,12
